

GENERATION: 206| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 207| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 208| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 209| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 210| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 211| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 212| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 213| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 214| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 215| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 216| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 217| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 218| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 219| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 220| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 221| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 222| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 223| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 224| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 225| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 226| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 227| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 228| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 229| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 230| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 231| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 232| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 233| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 234| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 235| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 236| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 237| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 238| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 239| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 240| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 241| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 242| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 243| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 244| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 245| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 246| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 247| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 248| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 249| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 250| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 251| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 252| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 253| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 254| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 255| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 256| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 257| FITNESS: -0.13636363636363635| NR: 7

